Date,MSFT.US
1989-08-04,0.284298
1989-08-07,0.284298
1989-08-08,0.292219
1989-08-09,0.292219
1989-08-10,0.284298
1989-08-11,0.284298
1989-08-14,0.284298
1989-08-15,0.284298
1989-08-16,0.276486
1989-08-17,0.276486
1989-08-18,0.284298
1989-08-21,0.276486
1989-08-22,0.284298
1989-08-23,0.292219
1989-08-24,0.292219
1989-08-25,0.292219
1989-08-28,0.292219
1989-08-29,0.284298
1989-08-30,0.292219
1989-08-31,0.292219
1989-09-01,0.292219
1989-09-05,0.292219
1989-09-06,0.292219
1989-09-07,0.284298
1989-09-08,0.292219
1989-09-11,0.292219
1989-09-12,0.300021
1989-09-13,0.307853
1989-09-14,0.315904
1989-09-15,0.307853
1989-09-18,0.315904
1989-09-19,0.307853
1989-09-20,0.323776
1989-09-21,0.323776
1989-09-22,0.323776
1989-09-25,0.331608
1989-09-26,0.331608
1989-09-27,0.331608
1989-09-28,0.331608
1989-09-29,0.339519
1989-10-02,0.339519
1989-10-03,0.339519
1989-10-04,0.371056
1989-10-05,0.387039
1989-10-06,0.394771
1989-10-09,0.402652
1989-10-10,0.402652
1989-10-11,0.394771
1989-10-12,0.387039
1989-10-13,0.363304
1989-10-16,0.371056
1989-10-17,0.387039
1989-10-18,0.394771
1989-10-19,0.418485
1989-10-20,0.418485
1989-10-23,0.410693
1989-10-24,0.394771
1989-10-25,0.394771
1989-10-26,0.378937
1989-10-27,0.378937
1989-10-30,0.394771
1989-10-31,0.402652
1989-11-01,0.402652
1989-11-02,0.378937
1989-11-03,0.387039
1989-11-06,0.378937
1989-11-07,0.394771
1989-11-08,0.410693
1989-11-09,0.410693
1989-11-10,0.418485
1989-11-13,0.434308
1989-11-14,0.426397
1989-11-15,0.434308
1989-11-16,0.434308
1989-11-17,0.426397
1989-11-20,0.426397
1989-11-21,0.434308
1989-11-22,0.434308
1989-11-24,0.434308
1989-11-27,0.426397
1989-11-28,0.426397
1989-11-29,0.418485
1989-11-30,0.426397
1989-12-01,0.418485
1989-12-04,0.426397
1989-12-05,0.426397
1989-12-06,0.418485
1989-12-07,0.418485
1989-12-08,0.418485
1989-12-11,0.410693
1989-12-12,0.402652
1989-12-13,0.394771
1989-12-14,0.387039
1989-12-15,0.378937
1989-12-18,0.387039
1989-12-19,0.394771
1989-12-20,0.410693
1989-12-21,0.410693
1989-12-22,0.418485
1989-12-26,0.418485
1989-12-27,0.426397
1989-12-28,0.418485
1989-12-29,0.426397
1990-01-02,0.434308
1990-01-03,0.442021
1990-01-04,0.449972
1990-01-05,0.442021
1990-01-08,0.449972
1990-01-09,0.449972
1990-01-10,0.434308
1990-01-11,0.426397
1990-01-12,0.426397
1990-01-15,0.426397
1990-01-16,0.434308
1990-01-17,0.434308
1990-01-18,0.465755
1990-01-19,0.465755
1990-01-22,0.449972
1990-01-23,0.442021
1990-01-24,0.449972
1990-01-25,0.449972
1990-01-26,0.449972
1990-01-29,0.449972
1990-01-30,0.449972
1990-01-31,0.458083
1990-02-01,0.458083
1990-02-02,0.458083
1990-02-05,0.465755
1990-02-06,0.465755
1990-02-07,0.458083
1990-02-08,0.465755
1990-02-09,0.465755
1990-02-12,0.465755
1990-02-13,0.465755
1990-02-14,0.465755
1990-02-15,0.473966
1990-02-16,0.481558
1990-02-20,0.48938
1990-02-21,0.473966
1990-02-22,0.473966
1990-02-23,0.481558
1990-02-26,0.48938
1990-02-27,0.481558
1990-02-28,0.48938
