Date,KO.US
1989-03-09,2.14212
1989-03-10,2.1315
1989-03-13,2.18769
1989-03-14,2.19832
1989-03-15,2.25421
1989-03-16,2.26464
1989-03-17,2.21946
1989-03-20,2.18442
1989-03-21,2.18769
1989-03-22,2.21946
1989-03-23,2.19832
1989-03-27,2.21589
1989-03-28,2.21946
1989-03-29,2.22641
1989-03-30,2.21589
1989-03-31,2.24379
1989-04-03,2.27179
1989-04-04,2.30683
1989-04-05,2.31349
1989-04-06,2.31726
1989-04-07,2.33483
1989-04-10,2.31726
1989-04-11,2.31349
1989-04-12,2.27179
1989-04-13,2.21589
1989-04-14,2.27536
1989-04-17,2.27536
1989-04-18,2.31726
1989-04-19,2.30683
1989-04-20,2.28598
1989-04-21,2.31726
1989-04-24,2.33483
1989-04-25,2.34198
1989-04-26,2.34506
1989-04-27,2.35925
1989-04-28,2.37335
1989-05-01,2.3944
1989-05-02,2.4224
1989-05-03,2.40125
1989-05-04,2.3802
1989-05-05,2.37335
1989-05-08,2.40125
1989-05-09,2.4079
1989-05-10,2.38378
1989-05-11,2.36968
1989-05-12,2.46757
1989-05-15,2.46757
1989-05-16,2.48177
1989-05-17,2.51692
1989-05-18,2.54859
1989-05-19,2.59406
1989-05-22,2.61491
1989-05-23,2.51692
1989-05-24,2.52764
1989-05-25,2.53816
1989-05-26,2.55544
1989-05-30,2.49229
1989-05-31,2.52764
1989-06-01,2.53816
1989-06-02,2.59743
1989-06-05,2.54501
1989-06-06,2.51692
1989-06-07,2.53816
1989-06-08,2.51692
1989-06-09,2.50659
1989-06-12,2.48882
1989-06-13,2.45735
1989-06-14,2.45735
1989-06-15,2.42915
1989-06-16,2.45735
1989-06-19,2.46757
1989-06-20,2.47115
1989-06-21,2.46072
1989-06-22,2.50659
1989-06-23,2.62225
1989-06-26,2.57629
1989-06-27,2.58671
1989-06-28,2.55911
1989-06-29,2.50659
1989-06-30,2.46757
1989-07-03,2.48177
1989-07-05,2.49229
1989-07-06,2.48882
1989-07-07,2.55544
1989-07-10,2.55911
1989-07-11,2.58671
1989-07-12,2.58324
1989-07-13,2.54859
1989-07-14,2.56576
1989-07-17,2.58671
1989-07-18,2.60448
1989-07-19,2.63596
1989-07-20,2.65343
1989-07-21,2.7127
1989-07-24,2.70218
1989-07-25,2.73405
1989-07-26,2.78279
1989-07-27,2.80771
1989-07-28,2.77912
1989-07-31,2.9753
1989-08-01,2.91951
1989-08-02,2.95435
1989-08-03,2.93698
1989-08-04,2.88099
1989-08-07,2.91951
1989-08-08,2.95435
1989-08-09,2.91593
1989-08-10,2.91951
1989-08-11,2.83899
1989-08-14,2.86004
1989-08-15,2.89488
1989-08-16,2.92646
1989-08-17,2.90541
1989-08-18,2.90878
1989-08-21,2.83174
1989-08-22,2.86004
1989-08-23,2.90541
1989-08-24,2.98205
1989-08-25,2.93698
1989-08-28,2.95435
1989-08-29,2.94393
1989-08-30,2.91593
1989-08-31,2.90878
1989-09-01,2.94393
1989-09-05,2.87046
1989-09-06,2.83174
1989-09-07,2.83174
1989-09-08,2.78955
1989-09-11,2.75827
1989-09-12,2.77912
1989-09-13,2.72342
1989-09-14,2.78279
1989-09-15,2.76204
1989-09-18,2.75132
1989-09-19,2.741
1989-09-20,2.73405
1989-09-21,2.685
1989-09-22,2.73047
1989-09-25,2.75827
1989-09-26,2.80771
1989-09-27,2.82837
1989-09-28,2.95435
1989-09-29,2.93331
1989-10-02,2.99615
1989-10-03,3.07349
1989-10-04,3.08412
1989-10-05,3.07002
1989-10-06,3.09087
1989-10-09,3.07002
1989-10-10,3.09087
1989-10-11,3.08034
1989-10-12,3.04172
1989-10-13,2.83174
1989-10-16,2.91951
1989-10-17,2.91951
1989-10-18,2.9753
1989-10-19,3.08034
1989-10-20,3.09454
1989-10-23,3.15739
1989-10-24,3.14339
1989-10-25,3.17139
1989-10-26,3.11182
1989-10-27,3.08412
1989-10-30,3.09454
1989-10-31,3.16791
1989-11-01,3.18191
1989-11-02,3.16791
1989-11-03,3.13991
1989-11-06,3.10139
1989-11-07,3.16086
1989-11-08,3.25866
1989-11-09,3.22738
1989-11-10,3.23781
1989-11-13,3.22738
1989-11-14,3.20653
1989-11-15,3.23781
1989-11-16,3.28685
1989-11-17,3.3078
1989-11-20,3.30462
1989-11-21,3.36747
1989-11-22,3.39547
1989-11-24,3.43051
1989-11-27,3.39547
1989-11-28,3.38504
1989-11-29,3.31852
1989-11-30,3.38127
1989-12-01,3.45126
1989-12-04,3.44471
1989-12-05,3.39189
1989-12-06,3.38504
1989-12-07,3.364
1989-12-08,3.41304
1989-12-11,3.44471
1989-12-12,3.47946
1989-12-13,3.51113
1989-12-14,3.49336
1989-12-15,3.50726
1989-12-18,3.46894
1989-12-19,3.43399
1989-12-20,3.336
1989-12-21,3.23781
1989-12-22,3.31852
1989-12-26,3.30462
1989-12-27,3.34285
1989-12-28,3.35695
1989-12-29,3.38127
1990-01-02,3.41304
1990-01-03,3.364
1990-01-04,3.34652
1990-01-05,3.31852
1990-01-08,3.39189
1990-01-09,3.364
1990-01-10,3.34285
1990-01-11,3.34285
1990-01-12,3.22053
1990-01-15,3.16791
1990-01-16,3.19234
1990-01-17,3.17139
1990-01-18,3.15739
1990-01-19,3.17863
1990-01-22,3.08412
1990-01-23,3.10834
1990-01-24,3.09087
1990-01-25,3.00668
1990-01-26,2.95435
1990-01-29,2.98583
1990-01-30,2.89826
1990-01-31,3.01392
1990-02-01,3.00668
1990-02-02,3.03507
1990-02-05,3.02445
1990-02-06,3.00668
1990-02-07,3.04172
1990-02-08,3.03507
1990-02-09,3.0171
1990-02-12,2.99615
1990-02-13,2.93331
1990-02-14,2.93698
1990-02-15,3.04172
1990-02-16,2.99615
1990-02-20,2.99615
1990-02-21,2.99615
1990-02-22,2.96498
1990-02-23,2.9753
1990-02-26,3.0314
1990-02-27,3.05582
1990-02-28,3.08412
1990-03-01,3.09454
1990-03-02,3.07349
1990-03-05,3.07349
1990-03-06,3.12949
1990-03-07,3.12234
1990-03-08,3.16791
1990-03-09,3.15024
1990-03-12,3.15739
1990-03-13,3.14339
1990-03-14,3.16791
1990-03-15,3.16086
1990-03-16,3.20653
1990-03-19,3.29728
1990-03-20,3.25866
1990-03-21,3.23781
1990-03-22,3.17139
1990-03-23,3.24515
1990-03-26,3.25548
1990-03-27,3.29728
1990-03-28,3.31852
1990-03-29,3.30462
1990-03-30,3.26948
1990-04-02,3.32567
1990-04-03,3.38127
1990-04-04,3.38504
1990-04-05,3.39189
1990-04-06,3.40609
1990-04-09,3.46894
1990-04-10,3.50726
1990-04-11,3.50051
1990-04-12,3.52166
1990-04-16,3.51778
1990-04-17,3.51113
1990-04-18,3.46894
1990-04-19,3.38504
1990-04-20,3.35357
1990-04-23,3.364
1990-04-24,3.36747
1990-04-25,3.36747
1990-04-26,3.36747
1990-04-27,3.2943
1990-04-30,3.336
1990-05-01,3.35695
1990-05-02,3.38504
1990-05-03,3.41304
1990-05-04,3.42347
1990-05-07,3.44471
